Engine,Testbench,Total_Power(W),Dynamic_Power(W),Static_Power(W),Systolic_Power(W)
M2no8,tb_nznz,0.288,0.18,0.108,0.047
M2no8,tb_nzzr,0.25,0.143,0.108,0.018
M2no8,tb_swnz,0.284,0.176,0.108,0.043
M2no8,tb_swzr,0.252,0.144,0.108,0.019
M2no8,tb_zrnz,0.249,0.141,0.108,0.017
M2no8,tb_zrzr,0.252,0.144,0.108,0.019
M2no9,tb_nznz,0.29,0.181,0.108,0.049
M2no9,tb_nzzr,0.253,0.145,0.108,0.02
M2no9,tb_swnz,0.286,0.178,0.108,0.045
M2no9,tb_swzr,0.254,0.146,0.108,0.021
M2no9,tb_zrnz,0.251,0.143,0.108,0.018
M2no9,tb_zrzr,0.254,0.146,0.108,0.021
M3no1,tb_nznz,0.31,0.201,0.109,0.054
M3no1,tb_nzzr,0.274,0.165,0.109,0.026
M3no1,tb_swnz,0.312,0.203,0.109,0.056
M3no1,tb_swzr,0.274,0.166,0.109,0.026
M3no1,tb_zrnz,0.266,0.158,0.109,0.019
M3no1,tb_zrzr,0.274,0.166,0.109,0.026
M3no2,tb_nznz,0.311,0.201,0.109,0.054
M3no2,tb_nzzr,0.268,0.159,0.109,0.02
M3no2,tb_swnz,0.312,0.203,0.109,0.055
M3no2,tb_swzr,0.268,0.159,0.109,0.02
M3no2,tb_zrnz,0.268,0.159,0.109,0.02
M3no2,tb_zrzr,0.268,0.159,0.109,0.02
M3no3,tb_nznz,0.312,0.203,0.109,0.055
M3no3,tb_nzzr,0.269,0.16,0.109,0.021
M3no3,tb_swnz,0.314,0.205,0.109,0.057
M3no3,tb_swzr,0.27,0.161,0.109,0.021
M3no3,tb_zrnz,0.269,0.161,0.109,0.021
M3no3,tb_zrzr,0.27,0.161,0.109,0.021
M3no4,tb_nznz,0.312,0.203,0.109,0.055
M3no4,tb_nzzr,0.276,0.167,0.109,0.028
M3no4,tb_swnz,0.306,0.196,0.109,0.049
M3no4,tb_swzr,0.276,0.167,0.109,0.028
M3no4,tb_zrnz,0.266,0.158,0.109,0.019
M3no4,tb_zrzr,0.276,0.167,0.109,0.028
M3no5,tb_nznz,0.312,0.203,0.109,0.055
M3no5,tb_nzzr,0.269,0.16,0.109,0.021
M3no5,tb_swnz,0.306,0.197,0.109,0.049
M3no5,tb_swzr,0.269,0.161,0.109,0.021
M3no5,tb_zrnz,0.266,0.158,0.109,0.019
M3no5,tb_zrzr,0.269,0.161,0.109,0.021
M3no6,tb_nznz,0.312,0.203,0.109,0.055
M3no6,tb_nzzr,0.269,0.16,0.109,0.021
M3no6,tb_swnz,0.306,0.197,0.109,0.049
M3no6,tb_swzr,0.269,0.161,0.109,0.021
M3no6,tb_zrnz,0.266,0.158,0.109,0.019
M3no6,tb_zrzr,0.269,0.161,0.109,0.021
M3no7,tb_nznz,0.311,0.202,0.109,0.055
M3no7,tb_nzzr,0.275,0.167,0.109,0.027
M3no7,tb_swnz,0.306,0.196,0.109,0.049
M3no7,tb_swzr,0.276,0.167,0.109,0.027
M3no7,tb_zrnz,0.266,0.157,0.109,0.018
M3no7,tb_zrzr,0.276,0.167,0.109,0.027
M3no8,tb_nznz,0.311,0.202,0.109,0.055
M3no8,tb_nzzr,0.268,0.159,0.109,0.02
M3no8,tb_swnz,0.305,0.196,0.109,0.049
M3no8,tb_swzr,0.269,0.16,0.109,0.021
M3no8,tb_zrnz,0.266,0.157,0.109,0.019
M3no8,tb_zrzr,0.269,0.16,0.109,0.021
M3no9,tb_nznz,0.311,0.202,0.109,0.055
M3no9,tb_nzzr,0.268,0.16,0.109,0.021
M3no9,tb_swnz,0.306,0.197,0.109,0.049
M3no9,tb_swzr,0.269,0.16,0.109,0.021
M3no9,tb_zrnz,0.266,0.157,0.109,0.019
M3no9,tb_zrzr,0.269,0.16,0.109,0.021
M4no1,tb_nznz,0.251,0.143,0.109,0.065
M4no1,tb_nzzr,0.208,0.1,0.108,0.03
M4no1,tb_swnz,0.257,0.148,0.109,0.07
M4no1,tb_swzr,0.211,0.103,0.108,0.033
M4no1,tb_zrnz,0.199,0.092,0.108,0.022
M4no1,tb_zrzr,0.211,0.103,0.108,0.033
M4no2,tb_nznz,0.247,0.139,0.109,0.061
M4no2,tb_nzzr,0.2,0.093,0.108,0.023
M4no2,tb_swnz,0.253,0.144,0.109,0.066
M4no2,tb_swzr,0.202,0.094,0.108,0.024
M4no2,tb_zrnz,0.199,0.092,0.108,0.022
M4no2,tb_zrzr,0.202,0.094,0.108,0.024
M4no3,tb_nznz,0.248,0.139,0.109,0.061
M4no3,tb_nzzr,0.201,0.093,0.108,0.023
M4no3,tb_swnz,0.253,0.144,0.109,0.066
M4no3,tb_swzr,0.202,0.094,0.108,0.024
M4no3,tb_zrnz,0.2,0.092,0.108,0.022
M4no3,tb_zrzr,0.202,0.094,0.108,0.024
M4no4,tb_nznz,0.248,0.139,0.109,0.061
M4no4,tb_nzzr,0.207,0.1,0.108,0.029
M4no4,tb_swnz,0.243,0.134,0.108,0.056
M4no4,tb_swzr,0.209,0.101,0.108,0.03
M4no4,tb_zrnz,0.198,0.09,0.108,0.02
M4no4,tb_zrzr,0.209,0.101,0.108,0.03
M4no5,tb_nznz,0.247,0.139,0.109,0.061
M4no5,tb_nzzr,0.201,0.094,0.108,0.024
M4no5,tb_swnz,0.242,0.133,0.108,0.055
M4no5,tb_swzr,0.203,0.095,0.108,0.025
M4no5,tb_zrnz,0.197,0.089,0.108,0.02
M4no5,tb_zrzr,0.203,0.095,0.108,0.025
M4no6,tb_nznz,0.249,0.14,0.109,0.062
M4no6,tb_nzzr,0.203,0.095,0.108,0.025
M4no6,tb_swnz,0.244,0.135,0.109,0.056
M4no6,tb_swzr,0.205,0.097,0.108,0.026
M4no6,tb_zrnz,0.2,0.092,0.108,0.022
M4no6,tb_zrzr,0.205,0.097,0.108,0.026
M4no7,tb_nznz,0.247,0.138,0.109,0.06
M4no7,tb_nzzr,0.207,0.099,0.108,0.029
M4no7,tb_swnz,0.242,0.133,0.108,0.055
M4no7,tb_swzr,0.209,0.101,0.108,0.03
M4no7,tb_zrnz,0.197,0.09,0.108,0.02
M4no7,tb_zrzr,0.209,0.101,0.108,0.03
M4no8,tb_nznz,0.247,0.139,0.109,0.061
M4no8,tb_nzzr,0.201,0.093,0.108,0.023
M4no8,tb_swnz,0.242,0.134,0.108,0.056
M4no8,tb_swzr,0.202,0.095,0.108,0.025
M4no8,tb_zrnz,0.197,0.089,0.108,0.02
M4no8,tb_zrzr,0.202,0.095,0.108,0.025
M4no9,tb_nznz,0.248,0.139,0.109,0.061
M4no9,tb_nzzr,0.201,0.094,0.108,0.024
M4no9,tb_swnz,0.242,0.134,0.108,0.056
M4no9,tb_swzr,0.203,0.095,0.108,0.025
M4no9,tb_zrnz,0.198,0.09,0.108,0.021
M4no9,tb_zrzr,0.203,0.095,0.108,0.025
M5no1,tb_nznz,0.253,0.145,0.109,0.067
M5no1,tb_nzzr,0.207,0.1,0.108,0.029
M5no1,tb_swnz,0.253,0.145,0.109,0.067
M5no1,tb_swzr,0.208,0.1,0.108,0.029
M5no1,tb_zrnz,0.199,0.092,0.108,0.022
M5no1,tb_zrzr,0.208,0.1,0.108,0.029
M5no2,tb_nznz,0.259,0.15,0.109,0.071
M5no2,tb_nzzr,0.205,0.097,0.108,0.026
M5no2,tb_swnz,0.259,0.15,0.109,0.071
M5no2,tb_swzr,0.205,0.097,0.108,0.027
M5no2,tb_zrnz,0.203,0.095,0.108,0.025
M5no2,tb_zrzr,0.205,0.097,0.108,0.027
M5no3,tb_nznz,0.257,0.149,0.109,0.07
M5no3,tb_nzzr,0.204,0.096,0.108,0.026
M5no3,tb_swnz,0.258,0.149,0.109,0.07
M5no3,tb_swzr,0.204,0.096,0.108,0.026
M5no3,tb_zrnz,0.202,0.095,0.108,0.024
M5no3,tb_zrzr,0.204,0.096,0.108,0.026
M5no4,tb_nznz,0.259,0.15,0.109,0.071
M5no4,tb_nzzr,0.212,0.104,0.108,0.033
M5no4,tb_swnz,0.252,0.143,0.109,0.064
M5no4,tb_swzr,0.213,0.105,0.108,0.034
M5no4,tb_zrnz,0.2,0.092,0.108,0.022
